artist_name,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url
Chevy,,,,,https://www.youtube.com/channel/UCCfDxWeL4-8jWh0YXfCwWKQ,UCCfDxWeL4-8jWh0YXfCwWKQ,,,https://twitter.com/CHEVYWOODS,CHEVYWOODS,https://www.facebook.com/ChevyWoods,http://chevywoodsmusic.com/
Sheryfa Luna,,,,,https://www.youtube.com/user/SheryfaLunaOfficial,SheryfaLunaOfficial,,,https://twitter.com/SheryfaOfficiel,SheryfaOfficiel,https://www.facebook.com/SheryfaLunaOfficiel,http://sheryfaluna.artistes.universalmusic.fr/
Michaela Rózsa Růžičková,,,,,,,,,,,,
Mia Boyka,https://www.instagram.com/miaboyka/,miaboyka,,,https://www.youtube.com/channel/UC3vxme2QQOLZmbIRny5fptg,UC3vxme2QQOLZmbIRny5fptg,,,,,,https://miaboyka.ru/
Dany Calvario,,,,,,,,,,,,
Liana Malva,https://www.instagram.com/lianamalva/,lianamalva,,,https://www.youtube.com/channel/UCpMnkaIYWHn5ALe9OivMdfw,UCpMnkaIYWHn5ALe9OivMdfw,,,,,https://www.facebook.com/LianaMalvaOficial,http://lianamalva.com/
Shay,https://www.instagram.com/Shayizi/,Shayizi,,,https://www.youtube.com/channel/UC_ckA7BVoVkUTty1LvJqVoQ,UC_ckA7BVoVkUTty1LvJqVoQ,,,https://twitter.com/shayizi,shayizi,https://www.facebook.com/Shayofficiel,
La Zowi,https://www.instagram.com/lazowi/,lazowi,,,,,,,https://twitter.com/lazowi69,lazowi69,,
Fagata,,,,,,,,,,,,
Chloe x Halle,,,,,,,,,,,,
JGrrey,https://www.instagram.com/jgrrey/,jgrrey,,,,,https://soundcloud.com/jgrrey,jgrrey,https://twitter.com/JGrrey13,JGrrey13,https://www.facebook.com/JGRREY,http://jgrrey.com/
Samara Cyn,,,,,,,,,,,,
Instasamka,https://www.instagram.com/instasamka/,instasamka,,,https://www.youtube.com/channel/UCUXqcY7bSoBOm2Ymx3QKpMQ,UCUXqcY7bSoBOm2Ymx3QKpMQ,https://soundcloud.com/instasamka,instasamka,,,https://www.facebook.com/instasamka,http://instasamka.ru/
Kenza Farah,,,,,https://www.youtube.com/user/kenzafarahVEVO,kenzafarahVEVO,,,,,,http://www.kenza-farah.fr/
Shells,,,,,,,https://soundcloud.com/shellsmusicnet,shellsmusicnet,https://twitter.com/shellsmusicnet,shellsmusicnet,,http://www.shellsmusic.com/
