artist_name,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url
Domiziana,https://www.instagram.com/domiziana/,domiziana,https://www.tiktok.com/@iam.domiziana,iam.domiziana,https://music.youtube.com/channel/UCxQGLYgeb6yMisKclmLk-MQ,UCxQGLYgeb6yMisKclmLk-MQ,https://soundcloud.com/domiziana-music,domiziana-music,,,,
Wooli,,,,,,,,,,,,
Saint Etienne,,,,,,,,,,,,
Kwesta,,,,,,,,,,,,
Loofy,,,,,,,,,,,,
3LAU,,,,,,,,,,,,
Opał,,,,,,,,,,,,
Skip Marley,,,,,,,,,,,,
Chilla,,,,,,,https://soundcloud.com/chillamusic,chillamusic,,,,
AZ,,,,,,,,,,,,
Ethan Ross,,,,,,,,,,,,
antransax,,,,,,,,,,,,
Sam Austins,https://www.instagram.com/samaustins/,samaustins,,,https://www.youtube.com/channel/UCUjPjEgHHteL_7X06kalgug,UCUjPjEgHHteL_7X06kalgug,https://soundcloud.com/samaustins,samaustins,https://twitter.com/samaustins,samaustins,https://www.facebook.com/samaustinsmusic,https://samaustins.com/
Dave East,,,,,,,,,,,,
Cupid,,,,,,,,,,,,
Bino Rideaux,,,,,,,,,,,,
Best,https://www.instagram.com/yourbestfriendjippy/,yourbestfriendjippy,,,,,https://soundcloud.com/jippy_dude/,jippy_dude,,,,https://yourbestfriendjippy.com/
NGC Daddy,,,,,,,,,,,,
Pedro Qualy,,,,,,,,,,,,
Kike Pavón,,,,,,,,,,,,
Arte Elegante,,,,,https://music.youtube.com/channel/UCSUAfHlbfdgbnojohnTekNA?feature=gws_kp_artist&feature=gws_kp_artist,UCSUAfHlbfdgbnojohnTekNA?feature=gws_kp_artist&feature=gws_kp_artist,,,,,,
The Bucketheads,,,,,,,,,,,,
Remers,,,,,,,,,,,,
Coup,,,,,,,,,,,,
smokedope2016,https://www.instagram.com/smokedope20166/,smokedope20166,,,https://www.youtube.com/channel/UC1vLYQ-72cHlGm4wtbsS7aw,UC1vLYQ-72cHlGm4wtbsS7aw,https://soundcloud.com/smokedope2016,smokedope2016,https://twitter.com/smokedope2016,smokedope2016,,
Phenom,,,,,,,,,,,,
Dilated Peoples,,,,,,,,,,,,
MUPP,,,,,,,,,,,,
Deep Bajwa,,,,,,,,,,,,
Darin,,,,,,,,,,,,http://www.bobbydarin.net/
EMF,,,,,,,,,,,,
Marcello Tahitoe,,,,,,,,,,,,
MBL_,,,,,,,,,,,,
Doulkha,https://www.instagram.com/doulkha__/,doulkha__,,,https://www.youtube.com/channel/UCJsHHuQsk7y_NOzV4F7di1A,UCJsHHuQsk7y_NOzV4F7di1A,,,,,,
Craig Mack,,,,,,,,,,,,
Curse One,,,,,,,,,,,,
fnonose,,,,,,,,,,,,
Mystikal,,,,,https://www.youtube.com/user/MystikalVEVO,MystikalVEVO,,,https://twitter.com/itsmystikal,itsmystikal,https://www.facebook.com/itsmystikal,
DJ-MK,,,,,,,,,,,,
HASN,,,,,,,,,,,,
Kat Dahlia,,,,,https://www.youtube.com/user/KatDahliaVEVO,KatDahliaVEVO,https://soundcloud.com/katdahlia,katdahlia,https://twitter.com/KatDahlia,KatDahlia,https://www.facebook.com/KatDahliaMusic,http://katdahlia.com/
Lado Sul,,,,,,,,,,,,
Mallrat,,,,,,,,,,,,
Adventure Club,,,,,,,,,,,,
BnP,,,,,,,,,,,https://www.facebook.com/AlliWantisToBnP,
SCXR SOUL,,,,,https://www.youtube.com/@scxrsoul,@scxrsoul,https://soundcloud.com/scxrsoul,scxrsoul,,,,
TX2,,,,,,,,,,,,
Beauty Brain,,,,,,,,,,,,
Majan,https://www.instagram.com/majan.614/,majan.614,,,https://www.youtube.com/channel/UCFdpO1KZTGDyrtuipdV_PfA,UCFdpO1KZTGDyrtuipdV_PfA,https://soundcloud.com/user-757901161,user-757901161,,,https://www.facebook.com/majanoffiziell,
slowthai,https://www.instagram.com/slowthai/,slowthai,,,https://www.youtube.com/channel/UCKHvQqJdl2cyPUmcXLFUeaQ,UCKHvQqJdl2cyPUmcXLFUeaQ,https://soundcloud.com/slowthai,slowthai,https://twitter.com/slowthai,slowthai,https://www.facebook.com/nospacenocaps,https://www.slowthai.com/
ECCO2K,,,,,,,,,,,,
Ivan Greko,https://www.instagram.com/ivan_greko/,ivan_greko,https://www.tiktok.com/@ivangreko,ivangreko,https://www.youtube.com/channel/UCpWuYqpYjwpPegTzwflXnjA,UCpWuYqpYjwpPegTzwflXnjA,,,,,,
John,,,,,https://www.youtube.com/channel/UCfv8TEQ44ej9uPGF-SNsDBA,UCfv8TEQ44ej9uPGF-SNsDBA,https://soundcloud.com/johnwilliams-official,johnwilliams-official,,,,http://www.johnwilliamscomposer.com/
conscience,,,,,,,,,,,https://www.facebook.com/ConsciencePop,http://www.conscience-music.de/
Ali471,,,,,,,https://soundcloud.com/ali471,ali471,,,,
Big Boi,https://www.instagram.com/bigboi/,bigboi,,,https://www.youtube.com/user/bigboi,bigboi,https://soundcloud.com/big-boi,big-boi,https://twitter.com/BigBoi,BigBoi,https://www.facebook.com/BigBoi,http://bigboi.com/
DomLaike,,,,,,,,,,,,
Doode,,,,,,,,,,,,
Liaze,https://www.instagram.com/liaze53/,liaze53,,,,,,,,,,
IRAH,https://www.instagram.com/irahmusic/,irahmusic,,,,,https://soundcloud.com/irahmusic/,irahmusic,,,https://www.facebook.com/irahband,http://irahmusic.com/
Taimour Baig,,,,,,,,,,,,
Poke,,,,,,,,,,,,
GASHI,,,,,,,,,,,,
Yuno Miles,https://www.instagram.com/yunomiles/,yunomiles,https://www.tiktok.com/@whereyunomiles,whereyunomiles,https://www.youtube.com/channel/UCRv0M7dDL0Y21_9rU4tgNDw,UCRv0M7dDL0Y21_9rU4tgNDw,https://soundcloud.com/user-108714540,user-108714540,,,,https://www.yunomiles.com/
Stefan Klimo,,,,,,,,,,,,
King Geedorah,,,,,,,,,,,,
