artist_name,soundcharts_uuid
slowthai,11e83fe8-9040-9a46-a4c2-aa1c026db3d8
ECCO2K,11e81bc9-927d-72ea-bf36-a0369fe50396
Ivan Greko,78f6c314-3876-11ea-83e6-e4434b16cb78
John,b29b7cde-15a6-11e9-8db7-549f35161576
conscience,23d7c77c-d907-11e8-94a4-549f35161576
Ali471,0223d660-b50d-11e9-82a8-549f35141000
Big Boi,11e81bbb-0529-dc52-aa6b-a0369fe50396
DomLaike,14263f92-053a-11ea-b1b9-549f35141000
Doode,c1afbce0-ed13-11e9-b8ce-e4434b2a4898
Liaze,08359542-e1e6-11e9-9b40-549f35141000
IRAH,11e81bbb-49a0-65cc-843d-a0369fe50396
Taimour Baig,1370e315-b2ac-4cab-a439-7bcbed260b50
Poke,c419fdc4-b8ee-11e8-8c1e-525400009efb
GASHI,11e83fed-61b1-2e7a-b758-a0369fe50396
Yuno Miles,1e32b6d2-cb46-4086-92a0-0448a909330e
Stefan Klimo,344b395e-c67e-11e8-af47-549f35141000
King Geedorah,11e81bc6-ec6f-4a88-a4e5-a0369fe50396
San Holo,11e81bd2-cf1a-893c-9755-a0369fe50396
PayGotti,c61ac824-6fc6-44bb-86f6-4b7f3d24e771
Digable Planets,11e81bc7-b1d7-2b92-94bb-a0369fe50396
Ardian Bujupi,11e81bca-07d0-8ff0-91f0-a0369fe50396
Chiko,3f1854cc-95fe-4b42-a104-7749ce4c1d3e
YT,6ba32abe-c1ca-11e8-8c9a-525400009efb
kouth,bcad8796-5595-11ea-a1c9-549f35161576
Hevi,bc64d912-cb32-11e9-a21c-549f35161576
Serko,11e83fe3-40d2-41d0-8e00-a0369fe50396
Deno,062d89a8-41a5-11e9-91ad-549f35161576
Sandëro,11e83fe5-d257-841a-99c8-a0369fe50396
CANCUN?,6e44307e-c1c5-11e8-a4ef-525400009efb
K3bi,e65f246a-4cad-11e9-9e65-549f35161576
Tavin,a2d22710-54c7-11ea-8036-801844ee83a6
Hubert.,7ca0c807-9408-4e65-b555-defe8cda370f
Nucci,da10225e-c30a-11e8-b396-525400009efb
AN1K8T,d177b575-090b-4f5a-a1c5-0a660133c249
Diego Smith,8078b3d8-6435-11e9-8295-549f35141000
Meekz,c8dbc9d4-0059-11e9-a4f0-549f35161576
Ponto de Equilíbrio,11e81bc2-68a7-69b4-bb2a-a0369fe50396
Sav'o,0f1d4e46-e6a5-11e8-afec-549f35141000
Imperial Atlas,30a16511-9570-4289-bd5c-812a6030bf27
Erhan Boraer,441c4562-54a8-11ea-9ce6-549f35141000
Illest Morena,d448433b-bf2b-414b-ad27-46e9de72eec1
Smolasty,11e81bbe-fa08-b2fe-a1c4-a0369fe50396
Ethereal,11e81bcd-d08c-7e24-8961-a0369fe50396
itsnk,11e83fed-c5e1-4fd8-a166-aa1c026db3d8
DJ Qhelfin,1113931c-f89e-11e8-a1d6-549f35141000
Saba,11e81bba-58fb-f9a6-9567-a0369fe50396
Dev1lHawk,fc8cccd9-70ae-4417-975a-424135fe3f99
Lil Man J,7dd81859-2e9a-4a86-a485-b6fa3b834b94
Sicario,f1fe010a-c252-11e8-9d20-525400009efb
Ronny J,11e81bd2-82be-4006-b749-a0369fe50396
Scorey,9f50ad6e-3b3b-11ea-86af-549f35141000
Acid Boyz,11e83fee-7d40-b3a8-bc4b-aa1c026db3d8
Ghostface Playa,c8dc96f0-4669-11ea-b3a4-549f35141000
MC João,11e81bca-4ccc-59cc-929d-a0369fe50396
Kute,a8cf2fd7-9cb8-4a6b-b62a-bd997a517e39
Danger Dan,11e81bbe-4f9c-fee2-ae12-a0369fe50396
PA69,6a9cad17-20f4-4e7f-9e81-c67587486cb1
Kupla,11e81bc8-abef-3a5c-bbc4-a0369fe50396
Frenetik&Orang3,11e83fed-b775-fbd8-8b69-aa1c026db3d8
Paulo DK,97b837d2-ab36-4310-9cd0-db81d478f58a
DJ GHP,a14f9645-b4c7-40c7-8252-fbfb6464385c
Sokół,11e81bba-5c34-18e2-a56c-a0369fe50396
Kojo Funds,11e81bbb-cc9c-4d60-9bbd-a0369fe50396
SXSS,e0f0f34d-aae2-4654-8eb1-7ada19d66ce6
Pereiraremix,4a6432bf-c04c-4172-bbe9-5411c1e9b0d2
Medy,e9668b10-5466-11e9-9b90-549f35141000
Tee,d1c8370b-54f6-476c-97cc-0e0543daab8a
Virtual Flavor,451f9036-f1bb-11e9-b9c5-549f35141000
PR1ISVX,c16fa9fc-cb0f-4d35-8840-618858a4d357
Viktor Sheen,11e83fe3-d8d5-29a2-844c-a0369fe50396
Peezy,11e81bbf-20a6-d35a-8318-a0369fe50396
Pilot,11e81bd1-c528-8722-bc82-a0369fe50396
Preditah,11e81bc7-8f33-f64c-a4b5-a0369fe50396
Georgio,11e81bbd-45b6-2ae4-bcd2-a0369fe50396
JayO,3d56a62d-88c0-4f6b-9ff5-7b459a79c31f
MATHINVOKER,dc574a12-f647-11e9-801d-e4434b2a4898
Jidenna,11e81bca-3a10-1346-9267-a0369fe50396
Flaco G,464bb2e4-b998-4262-a930-34609e667fb7
Vega,11e81bbd-5a56-20a8-b10a-a0369fe50396
Casper,11e81bcd-e3e0-1c38-b6eb-a0369fe50396
Chanell,89184f34-10d5-11e9-9684-00163ec5a2fb
Potter Payper,11e81bca-4b59-98f2-8dfe-a0369fe50396
Halil İbrahim Göker,df3e4a66-53c5-11e9-bec3-549f35161576
Santa Estilo,11e83fec-cb88-e050-a7ff-aa1c026db3d8
Anezzi,233488a0-c1a6-11e8-805a-525400009efb
Rasta,11e83fe0-d554-8c62-9d04-aa1c026db3d8
Mond,84932317-aa38-4f6f-98fa-a2190cf1c6e3
Gibin,a518cb6a-d0aa-11e9-a485-549f35141000
Oge,11e83fe0-5636-00fa-af5b-aa1c026db3d8
shirobeats,5b750d30-5232-11e9-aa1d-e4434b2a489b
Aspova,11e83fee-01bb-d60e-a60e-aa1c026db3d8
Marea,11e81bc9-7791-a596-a1d8-a0369fe50396
Moha k,931cac2e-db90-11e9-acd3-801844edfa71
Coby,11e81bc7-1227-1bd4-85d5-a0369fe50396
Pedro Apoema,3377c136-54a9-4e02-aa33-ad636bde9d81
Sid,d01bc682-b8d7-11e8-89e2-525400009efb
RIELL,7db752c8-c5fa-11e8-b412-549f35141000
Peekaboo,11e81bc4-16b8-44fa-9e74-a0369fe50396
Rishi Rich,11e81bd2-85a2-a37a-ae9b-a0369fe50396
Fredz,5fa8bb92-805c-11e9-8972-549f35141000
Rmc Mike,1753b74e-8461-11e9-9610-e4434b16cb7a
Delil,11e83fee-0856-3ba8-b06b-a0369fe50396
CÉLINE,6ceff982-4eb5-11ea-80ce-e4434b2a4898
Kacperczyk,3be7dbea-47ed-11e9-92f2-e4434b2a489b
Contra,11e81bbb-d82f-05a0-a27f-a0369fe50396
Phonkha,0ff069d4-24ad-4ed2-8dee-e1205e104d9f
Shanice,11e81bbe-aef3-6b06-89af-a0369fe50396
Prof,11e81bc1-bf03-b48a-9703-a0369fe50396
Anthony Ramos,11e81bd1-4fbb-c22e-9159-a0369fe50396
MHRAP,7d4c8d1c-b75d-11e9-9de3-801844edfa71
Sickboyrari,11e83fe9-485a-1148-840b-a0369fe50396
Djair Voz Cristalina,9b7906b8-b2bb-43b8-8aa0-b687ef420fa8
Yellow House,11e81bbc-2aef-7a36-8af5-a0369fe50396
Anubiis,99f2efbc-b137-4a9d-9a67-8f152c0efa66
PJ HOUDINI,f13b83c6-43f8-4fb0-8bd8-a0251318da24
Kidda,11e81bd1-7f95-814c-a0b0-a0369fe50396
SOMBRA PR,cbb71e87-e13d-4c99-aaa8-65d051a4e0aa
Tevomxntana,dcf8bf91-5258-47af-b727-4ea3be6beaae
Lil Ru,11e81bd0-6937-55fc-886a-a0369fe50396
Mula B,11e81bc3-269c-e052-b8ed-a0369fe50396
Foxy Brown,11e81bbf-0bb2-114e-8b44-a0369fe50396
DJ FLG,488c3eec-1777-405b-8f70-2634e2971fc4
Crudo Means Raw,11e81bc2-f29f-66e4-9062-a0369fe50396
Burry Soprano,d15ee126-b82a-11e8-acb7-525400009efb
NO LIMIT 4L,36e4ebb8-03da-421f-b02d-514e2b91f5f0
Clash,11e81bc2-474d-c024-8548-a0369fe50396
Tiggs da Author,11e81bc3-451f-088e-9584-a0369fe50396
Knxwledge,11e81bbb-724e-f786-8179-a0369fe50396
The Limba,e52b5222-b8dc-11e8-91b8-525400009efb
Bubaseta,11e81bc1-5844-51d2-aeb8-a0369fe50396
De Jeugd van Tegenwoordig,11e81bc0-6375-2a6e-8ad6-a0369fe50396
Dorian,11e81bc3-36b0-023a-86cf-a0369fe50396
Jody K. Jenkins,50551d26-4d6f-11ea-aacb-801844edfa71
Bezerra Da Silva,11e81bba-62f9-837e-a744-a0369fe50396
Sevn Alias,11e81bbb-c35f-df5a-a62f-a0369fe50396
Adje,11e83fdf-cc44-09be-9704-a0369fe50396
Jace!,6ac732fa-ed05-43fc-b09c-04314d34de6b
RXZOR,7b845667-b21c-4958-a82f-6619581f8f3f
Umut Kaya,11e81bc9-b0e4-6f72-81cf-a0369fe50396
Viper,024081a8-23da-4b26-b062-9b026440a26f
The Gregory Brothers,11e81bca-139b-3420-b3a2-a0369fe50396
Bugoy Na Koykoy,8db4e1cc-c672-11e8-a0c2-549f35161576
Krishna,11e83feb-c7d4-e0a4-bf16-aa1c026db3d8
Luka G,913412d2-d553-4868-b5f7-fd5d8240ced7
Saske,11e83fe4-e172-51ce-b5fa-a0369fe50396
badmómzjay,1f247646-165d-11ea-9670-801844ee83a6
ArniTheSavage,2aefce7e-d907-11e8-9754-549f35161576
TrippyThaKid,37a39d24-c3c4-11e8-bd69-525400009efb
SR,82c55433-bbe8-442f-b7ac-096f72b3ab05
Alkaline,11e81bca-83be-9292-b166-a0369fe50396
DUSTY LOCANE,ae8e3daf-832b-4d15-96ec-cc23de10cec8
Max Korzh,11e81bbb-e7bd-a15c-ae5c-a0369fe50396
Mick Jenkins,11e81bc0-94cd-1838-8536-a0369fe50396
JP Diazz,7ce15b0d-aad7-47e8-83e0-bda6d6006f94
MV Bill,11e81bc1-02a9-a240-a688-a0369fe50396
Bhalwaan,2fb87186-43ca-40fd-b15e-f7346e4172b1
Derek Santana,c431adaa-04e5-4f36-993b-51133bf4cd66
Thomas LaRosa,9fdd19b9-2664-405f-8687-071a8c204c3d
JayKae,11e81bbf-e53d-bc56-ac5e-a0369fe50396
Carnage,11e81bbb-c450-af0c-992a-a0369fe50396
Not3s,11e81bc1-f2dd-de5c-95db-a0369fe50396
Nu Shooz,11e81bc4-057e-58c8-80e6-a0369fe50396
Bri3,76272713-2d51-483f-bc26-3b5c8136cc60
pH-1,11e81bc1-3d82-8d00-9dd3-a0369fe50396
Navai,b86d5e32-dd85-11e9-9322-549f35141000
Chip,11e81bba-4a66-eec8-be9a-a0369fe50396
Lost Kings,11e81bc3-68e8-5d9c-aa72-a0369fe50396
Paktofonika,11e81bcd-abe0-767a-aebf-a0369fe50396
Movements,11e81bd2-75dd-e86e-a805-a0369fe50396
Frijo,11e83fec-cfe8-6ef4-bc52-aa1c026db3d8
Albatraoz,11e81bc9-0e46-d12e-9a4f-a0369fe50396
Ankhal,4cd4e7d4-0064-11e9-93de-00163ec5a2fb
Todrick Hall,11e81bbf-a20b-141a-ae2a-a0369fe50396
E1 (3x3),cd021f3e-c9e7-42f9-ba39-f97f5bd65e3b
KOTA the Friend,11e81bc3-4632-a956-b9d6-a0369fe50396
prod. DTM,f2b46a9d-666d-4e01-ad2e-18e2dc32252b
Mandale Flow,520c9734-066f-4240-883e-2244a2b5be60
The Opposites,11e81bcb-0f5a-e4f4-968d-a0369fe50396
No Limit,a42661fd-4e92-46ec-9712-338f5acba6c0
Febre90s,aa2abe6b-04c4-46ab-bd1b-2ad2a5643637
Brodie,11e81bc1-7761-5b28-b29a-a0369fe50396
Daboii,11e81bbf-5ab5-7e66-ab35-a0369fe50396
Will Swinton,40dc6273-73b0-4012-9fc2-410d36e5b7b0
Jhay P,bce4f31e-a28d-4d01-92b2-20e300dac752
1550 Collective,073fd88e-4316-4632-ac68-93072ee1183f
Odiseabeat,15d72f5a-ea22-49f2-9d18-911ed70f21f8
Sidoka,06e0afc2-c33f-11e8-8080-525400009efb
Ché Salah,65478907-ac0e-4697-93df-3d743c6b2fc8
Dinesh Lal Yadav,84f84248-4a40-11e9-bf44-e4434b2a489b
Libera,11e81bc6-b36f-da90-8fe1-a0369fe50396
N2Deep,11e81bbd-a6d5-5354-a782-a0369fe50396
Kronkel Dom,41fb99c0-b8f7-11e8-9d13-525400009efb
